id,title,contentType,category,audiences,intents,summary,keyQuestions,recommendedServices,accessMode,siteSpecificRequired,pdfStatus,priority,pdfFile
safe-digging-essentials,Safe Digging Essentials,Guidance,Safe digging essentials,All users,safe digging essentials,"Overview of the core principles of planning, locating services and excavating safely.",What does this mean? | What should the user do next?,OneCall Utility Search,Guest guidance unless the next action is site-specific,True,PDF complete,High,LSBUD_Insight_Safe_Digging_Essentials.pdf
do-i-need-a-utility-search,Do I Need a Utility Search?,Guidance,OneCall and utility search,All users,do i need a utility search?,Decision guide for when a utility search should be considered before works.,What does this mean? | What should the user do next?,OneCall Utility Search,Guest guidance unless the next action is site-specific,True,PDF complete,High,LSBUD_Insight_Do_I_Need_a_Utility_Search.pdf
service-connection-risk-guide,Service Connection Risk Guide,Guidance,Safe digging essentials,All users,service connection risk guide,"Guide to private service connections, shallow assets and local site supplies.",What does this mean? | What should the user do next?,OneCall Utility Search | Top-Up Search | Select Surveys Quote Request,Guest guidance unless the next action is site-specific,True,PDF complete,High,LSBUD_Insight_Service_Connection_Risk_Guide.pdf
householder-safe-digging-checklist,Householder Safe Digging Checklist,Download / PDF,Public and householder,All users,householder safe digging checklist,Householder Safe Digging Checklist library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,OneCall Utility Search,Guest guidance unless the next action is site-specific,True,PDF required,High,
fencing-and-gates-guidance,Fencing and Gates Guidance,Guidance,Contractor and trades,All users,fencing and gates guidance,Fencing and Gates Guidance library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,OneCall Utility Search | Select Surveys Quote Request,Guest guidance unless the next action is site-specific,True,PDF required,High,
hsg47-plain-english-summary,HSG47 Plain-English Summary,Guidance,HSG47 and excavation safety,All users,hsg47 plain-english summary,HSG47 Plain-English Summary library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,OneCall Utility Search,Guest guidance unless the next action is site-specific,True,PDF required,High,
utility-plans-explained,Utility Plans Explained,Guidance,OneCall and utility search,All users,utility plans explained,Utility Plans Explained library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,OneCall Utility Search | Top-Up Search,Guest guidance unless the next action is site-specific,True,PDF required,High,
pas128-summary-guide,PAS128 Summary Guide,Guidance,"PAS128, surveys and detection",All users,pas128 summary guide,PAS128 Summary Guide library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,PAS128 / GPR Survey Quote | Select Surveys Quote Request,Guest guidance unless the next action is site-specific,False,PDF required,High,
survey-buyer-guide,Survey Buyer Guide,Guidance,"PAS128, surveys and detection",All users,survey buyer guide,Survey Buyer Guide library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Select Surveys Quote Request,Guest guidance unless the next action is site-specific,False,PDF required,High,
top-up-search-explained,Top-Up Search Explained,Guidance,OneCall and utility search,All users,top-up search explained,Top-Up Search Explained library item for the LSBUD Insight guidance catalogue.,What does this mean? | What should the user do next?,Top-Up Search,Guest guidance unless the next action is site-specific,False,PDF required,High,
